G_unit,ref,guid,name
10716615,SE/019100007,2703428C-D6A2-4A3D-AE4F-8061723A6046,"HUSBY ÄRLINGHUNDRA KOMMUN"
10716627,SE/176300002,2706B442-9977-4B56-BE73-F132195B65DC,"NEDRE ULLERUDS KOMMUN"
10716639,SE/188200003,270B2BFE-376B-4237-BA4F-6B5DD29AA5FA,"LERBÄCKS KOMMUN"
10716640,SE/068500025,2714EB8F-5895-414F-884B-DBB9F178DC45,"NÄVELSJÖ KOMMUN"
10716652,SE/068500013,27235DD2-6FDD-4B1A-9D4B-88976DF13496,"NYE KOMMUN"
10716664,SE/128100013,2727E903-2139-4950-9A0C-0604B031213A,"HARDEBERGA KOMMUN"
10716676,SE/210299003,272BADA9-E455-4C74-BD1F-AB09D0B688F9,"GÄVLE STAD"
10716688,SE/048400007,27321405-B11D-4D41-ACE7-10F5D8611DBF,"KJULA KOMMUN"
10716690,SE/008179200,27323974-2769-4130-9EE2-D3C11533191A,"HISINGS KONTRAKT"
10716706,SE/158200006,27374903-7980-42C3-A272-1543D93ED390,"ALINGSÅS LANDSKOMMUN"
10716718,SE/010399000,27502E50-35C9-4F38-9330-CDBD77144036,"HUDDINGE FÖGDERI"
10716720,SE/001002200,27541359-B294-4948-B10C-2F0B42F3B206,"UPPSALA KONTRAKT"
10716731,SE/058200006,27598B21-328A-481D-95F6-3C1802E8EC37,"VÄSTRA HUSBY KOMMUN"
10716743,SE/008177200,27711118-AC0C-41EE-B5C8-262EAD742FE6,"ÄLVSBORGS KONTRAKT"
10716755,SE/150199001,2798B3BA-A9C8-4543-8CC7-7DCE7C647C22,"DALSLANDS FÖGDERI"
10716767,SE/4070000001002,279B5FC6-7C2B-440E-9A26-4EDD3720E1DD,"SMÅLANDS HUSARREGEMENTE 07"
10716779,SE/002038200,27A8C662-EA4E-428F-8938-0FA7B1438DB6,"SEVEDE OCH ASPELANDS KONTRAKT"
10716780,SE/013600004,27B38CD0-C737-4AF3-9933-CF58B0CB5AC7,"ORNÖ KOMMUN"
10716792,SE/206100001,27E64B5A-BF73-4806-A5A7-A2105EE6BE68,"NORRBÄRKE KOMMUN"
10716809,SE/158400027,28004139-5564-43E3-B0BB-9940657F72D7,"KÖLINGAREDS KOMMUN"
10716810,SE/208400001,280FD3F9-0444-4472-9FD3-DD8706FCAD8E,"GRYTNÄS KOMMUN"
10716822,SE/138400010,2811A192-BF46-4E2C-9A7E-192727D1B6CF,"ÖLMEVALLA KOMMUN"
10716834,SE/086000011,2818796C-AECC-493B-8900-34A5C1B3F60B,"TVETA KOMMUN"
10716846,SE/008181202,2864BDD7-F1A3-47E9-9BA4-098A7F2F4316,"ELFSYSSELS NORRA KONTRAKT"
10716858,SE/100032301,286B3386-6550-470A-93B3-1F86B144B531,"SJUHUNDRA LYHUNDRA NÄRDINGHUNDRA FRÖTUNA LÄNNA"
10716860,SE/060699000,28E91E8D-787F-43AF-B1B1-C4C5C1467E41,"REFTELE FÖGDERI"
10716871,SE/078109999,28FA4350-BFA3-4701-818D-AC441FDF1AC1,"HALLSJÖ FÖRSAMLING"
10716883,SE/058200013,28FC2E7D-1BA8-4512-989E-C599B6284B68,"MOGATA KOMMUN"
10716895,SE/240299006,29194EA8-1F05-4A60-BDBE-5433807E479E,"VÄSTERBOTTENS ANDRA FÖGDERI"
10716901,SE/208000003,293032D2-0316-472D-93BC-17261685C8B0,"ASPEBODA KOMMUN"
10716913,SE/168200002,2975A2BA-0490-4060-8230-BA61B9BD09D2,"SKARA STAD"
10716925,SE/176600002,297DCF7B-652C-4F2B-87F3-9839A4C01275,"VÄSTRA ÄMTERVIKS KOMMUN"
10716937,SE/258003300,298F139F-D007-4EF2-9862-BC4857BF0B3E,"STRANDA HÄRAD"
10716949,SE/258100005,299DAB1F-D992-43E9-9CC0-23B610C956F4,"PITEÅ LANDSKOMMUN"
10716950,SE/210000000,29B2F543-F234-4BBD-A1E9-6D7605AB1060,"GÄVLEBORGS LÄN"
10716962,SE/400026302,29C48540-55D2-4391-80D5-A023F475D39E,"MARKS BOLLEBYGDS OCH VEDENS"
10716974,SE/168100008,29C7D34A-8D0E-405E-8AD7-80CE1A918346,"MELLBY KOMMUN"
10716986,SE/208200001,29C87135-0F09-4BEA-9E84-B61D6E7D2CD1,"SÄTERS STAD"
10716998,SE/126200002,29D5B2E8-9A1D-4570-B988-6E8687401509,"BORGEBY KOMMUN"
10717000,SE/202300002,29E127F0-792E-4CBA-9F97-AE4EB54C393F,"LIMA KOMMUN"
10717012,SE/088300011,29FBABE2-A993-42A9-ADD2-C16FFB58D8E7,"DALHEMS KOMMUN"
10717024,SE/058400005,2A04825C-B9B7-4492-927F-5053D8D0B2B4,"STRÅ KOMMUN"
10717036,SE/458003300,2A10E9FF-4B26-48F0-88B9-E0B9C7745246,"VEDENS HÄRAD"
10717048,SE/142700008,2A1AA52B-B255-4826-B741-AE6A095BCDA4,"TOSSENE KOMMUN"
10717050,SE/156600012,2A3092C5-2AB2-4853-84B8-43BD5F439656,"VESENE KOMMUN"
10717061,SE/121400007,2A30C6E9-6F9D-487D-A4AB-4D82F0A5D994,"HALMSTADS KOMMUN"
10717073,SE/011259204,2A38BEBC-24B8-47F4-B751-F047ED804BDD,"LAPPMARKENS FÖRSTA KONTRAKT"
10717085,SE/058100009,2A4B4827-9605-4215-8A87-A72866F0E337,"SKÄRKINDS KOMMUN"
10717097,SE/156600017,2A4BE4D0-77ED-4097-89AC-D37AB7CA6824,"BRODDARPS KOMMUN"
10717103,SE/200021301,2A518D59-5E15-4AFB-BE1D-76C1F897F7E1,HAMMARKINDS
10717115,SE/178500001,2A57D0C6-35B6-431C-9E85-C1A3D856A4E7,"SÄFFLE STAD"
10717127,SE/190199009,2A745A06-6421-4E69-ACAD-9D38559BB225,"STRÖMSHOLMS FÖGDERI"
10717139,SE/138200009,2A788242-6747-4851-9DF7-000BB70B7F4D,"ÅRSTADS KOMMUN"
10717140,SE/150700001,2A962A14-9BF3-4A3D-8D32-8888499668BA,"FÄRGELANDA KOMMUN 1863 1951"
10717152,SE/098000004,2AA6368F-4D39-4314-8985-263B483F1D7D,"FÅRÖ KOMMUN"
10717164,SE/213200003,2AA7382C-BF3C-430C-A09F-4AB4D5A87F26,"HARMÅNGERS KOMMUN"
10717176,SE/186000002,2ABB3DAA-DC2B-48D0-A513-6C2382EBFB0B,"FINNERÖDJA KOMMUN"
10717188,SE/176600001,2AD2D262-48C7-4B19-9A11-867A5D4E28A8,"SUNNE KOMMUN 1863 1951"
10717190,SE/158300016,2AE856ED-2BB4-48A5-8CB1-E047A4567F28,"BORGSTENA KOMMUN"
10717206,SE/158500012,2AF2D836-D7F2-498B-9739-28F227C3D14B,"EDSLESKOGS KOMMUN"
10717218,SE/056100004,2AF73DAB-75BA-41B2-A14C-64D4F3247284,"GREBO KOMMUN"
10717220,SE/088000009,2B04667D-7895-4708-A757-7CFA29793DB5,"LÄCKEBY KOMMUN"
10717231,SE/168600054,2B060695-3BE0-4E99-8795-F103178F6DCA,"SÄTUNA KOMMUN"
10717243,SE/232600004,2B11952D-5BEA-4E1C-910E-A7021545E8B4,"MYSSJÖ KOMMUN"
10717255,SE/118200009,2B19F086-EF28-41C4-8ECF-5FB9FDBBB63E,"STARBY KOMMUN"
10717267,SE/048200008,2B2B0D2D-C7A2-44F9-BA14-169417E0883D,"DUNKERS KOMMUN"
10717279,SE/066200001,2B3533BD-5A1B-4ADF-8A34-8DD05E321D57,"GISLAVEDS KÖPING"
10717280,SE/012000004,000CFFC8-87EA-4E07-9B6F-0267ECAD6E0A,"NÄMDÖ KOMMUN"
10717292,SE/551000400,00141327-8EBE-432B-B8B2-58B1A18A0CA9,"ÖRNSKÖLDSVIKS TINGSRÄTT"
10717309,SE/040399001,001CCE7D-B7BD-454A-AC80-E24904464ED0,"FÖRSTA FÖGDERI D LÄN"
10717310,SE/210000003,004A9ECD-D04C-11D4-BBC5-00D0B73E008B,"NORRLANDS LÄN"
10717322,SE/118300014,0062B4C4-DE37-411E-BB45-B84BAEE2F5F3,"HÄSTVEDA KOMMUN"
10717334,SE/120299007,00692D31-0E4D-453A-8139-7E718EA0B8DE,"HÄLSINGBORGS FÖGDERI"
10717346,SE/168500011,0072DEBD-B0C1-4147-AEF5-CE6F3144564C,"DIMBO KOMMUN"
10717358,SE/230900010,007F5494-78D4-47CB-A7B2-F586EF041B00,"FÖLLINGE KOMMUN"
10717360,SE/300029306,008135A1-5E5B-4827-BFA7-081AFD3EB434,"OXIE OCH SKYTTS DOMSAGA"
10717371,SE/258200005,00852EE7-B043-411A-868E-D85E41064AE2,"EDEFORS KOMMUN"
10717383,SE/400048301,00A41466-3E47-4EDE-80F6-3F015019419B,"ÄLVDALS DOMSAGA"
10717395,SE/038000029,00B2566C-AB5D-4C55-A706-090E9E03AEF8,"SKUTTUNGE KOMMUN"
10717401,SE/088400006,00C03D29-7859-45E9-BCBC-70D8DA7B9921,"FRÖDINGE KOMMUN"
10717413,SE/200002301,00C699F1-C765-4895-829C-1D2F27424677,GÖSTRINGS
10717425,SE/088000012,00CDBB3D-53AA-49B3-B5E5-939D9BB31747,"LJUNGBYHOLMS KOMMUN"
10717437,SE/058100025,00CE46AC-713D-4B6A-8745-CC90D35C7A6A,"ÖSTRA VIKBOLANDETS KOMMUN"
10717449,SE/009212200,00D8B5A1-E06E-4FC5-8D67-1C2091DA9646,"VÄSTRA DALS KONTRAKT"
10717450,SE/076000005,00DBFC1A-A100-4E89-AE22-510D5E9DF24C,"NOTTEBÄCKS KOMMUN"
10717462,SE/051300004,00DC23AF-1EE3-40C5-924A-C43CFD00A4B8,"VÄSTRA ENEBY KOMMUN"
10717474,SE/118300015,00F145F3-13CE-4B1F-A5A4-7E22A3F5C53B,"VERUMS KOMMUN"
10717486,SE/178500005,00F20E76-89FD-4E76-92C3-AF16E5BEA948,"MILLESVIKS KOMMUN"
10717498,SE/058000008,0111C17A-AD39-40C6-B39E-0758C2B56B25,"VÅRDNÄS KOMMUN"
10717504,SE/200053301,0113F1B2-7731-4FC8-B4F3-2E2F4A425DB9,"VÄSTRA DOMSAGA"
10717516,SE/051300002,01247109-5A22-41E0-B5C3-4D43EAC5C7E9,"TIDERSRUMS KOMMUN"
10717528,SE/4150000001001,013404E1-67F2-4C4D-A4B4-89E35D93F823,"VÄSTERGÖTLANDS BÅTSMANSKOMPANI 15"
10717530,SE/126300009,0134BEA2-2F86-4FCF-8A07-1A12FB4AB1BB,"BARA KOMMUN"
10717541,SE/088500011,0140F378-0BDD-4689-9716-DF376C529A53,"HÖGSRUMS KOMMUN"
10717553,SE/200499003,015CC175-595F-47AE-9D4C-FAA08288C5AA,"VÄSTERBERGSLAGS FÖGDERI"
10717565,SE/220299001,0161586D-7833-4ACB-BF79-69A8C337505D,"SÖDRA ÅNGERMANLANDS NEDRE FÖGDERI"
10717577,SE/011299007,0164635D-D9A5-4462-BF5F-EB5912E47B66,"DANDERYDS ÅKERS VÄRMDÖ FÖGDERI"
10717589,SE/002030200,01681829-1917-4C02-8FAD-F6A3473CA8CD,"VIFOLKA OCH VALKEBO KONTRAKT"
10717590,SE/156600019,01732F16-5A66-43DF-BE8B-8B09EEA40C9F,"BRÅTTENSBY KOMMUN"
10717607,SE/058100020,019C6A62-8042-457F-9AD8-5F5875903A59,"DAGSBERGS KOMMUN"
10717619,SE/018000001,01A22DD0-22CF-4456-ACD8-1C111E7F1335,"BRÄNNKYRKA KOMMUN"
10717620,SE/068500008,01A6769E-6556-46BA-B4C7-3E07BD25AD10,"RAMKVILLA KOMMUN"
10717632,SE/128700041,01A9DED1-CEDA-407D-8683-CEE9C526E858,"TRELLEBORGS STAD"
10717644,SE/056300006,01D72388-ADD6-4C01-AA6E-8162178A3FB3,"TRYSERUMS KOMMUN"
10717656,SE/453001300,01E73AFD-FF48-447A-B955-EC9C7B1A9DC0,"INLANDS FRÄKNE HÄRAD"
10717668,SE/4190000001003,01EA743E-5288-4FC8-AA1D-C99A3C60C62F,"LIVREGEMENTETS HUSARER 19"
10717670,SE/160002301,01FC3C73-FD19-4B95-82BA-6C46C1CBBAC6,"NORDERTREDINGENS TINGSRÄTTS HÄRAD"
10717681,SE/240199009,02273E73-8D80-4970-8D27-988016380CA9,"UMEÅ STAD"
10717693,SE/168600031,023F2D7F-AD1B-46F7-904C-0D3475E320C1,"NÄS KOMMUN"
10717700,SE/228006999,02615560-8DCB-4B71-99D3-33F03E1F0C9E,"HÄRNÖSANDS HOSPITALSFÖRSAMLING"
10717711,SE/180399006,028C72DE-CD24-4CCD-848A-C622B467A74D,"LEKE OCH KARLSKOGA FÖGDERI"
10717723,SE/190199000,0295CAD9-76C1-4A7E-A0B2-A45377FAB91D,"VÄSTERÅS FÖGDERI"
10717735,SE/190700001,0297B352-19EA-4F1D-91C9-73542D86D8E0,"SURA KOMMUN"
10717747,SE/206200001,02F1B88F-EC48-4105-B732-83E8D46A8A7B,"SOLLERÖNS KOMMUN"
10717759,SE/156200009,02F416E3-C29D-486F-A826-F6A420C72385,"VÄSTERLANDA KOMMUN"
10717760,SE/238000006,02FD0D05-374E-40CD-A9E6-8DBF3049C694,"LOCKNE KOMMUN"
10717772,SE/178200004,030D46E3-C37D-47A2-A896-08C8340E407B,"NORDMARKS KOMMUN"
10717784,SE/128100020,032C2B23-3128-4FF1-8E3B-F76CC61AE41A,"DALBY KOMMUN"
10717796,SE/118300017,032EBD6C-6B00-4CF9-B0CC-5A740181EBFF,"VITTSJÖ KOMMUN"
10717802,SE/030199008,033B6EA6-F3AA-4309-9D3D-3E3AE698FD56,"ANDRA FÖGDERI C LÄN"
10717814,SE/004084200,033BC05B-150F-41B5-9F87-F302F235F0F2,"ASKERS KONTRAKT"
10717826,SE/4050000001007,03433E60-5CE3-41FA-A8EF-A1CED09024E8,"JÖNKÖPINGS REGEMENTE 05"
10717838,SE/003058200,03694F97-B0B5-494C-B400-5D49B5F46CC9,"KÅKINDS KONTRAKT"
10717840,SE/466002300,0383CAE6-ECD7-4979-A04F-1EAAA8A05BF9,"VÄSE HÄRAD"
10717851,SE/048000045,03903355-C81D-4076-B4F3-D57420DDE521,"KATTNÄS KOMMUN"
10717863,SE/160899000,03B468F2-A423-49D5-9042-43692D0155BF,"LIDKÖPINGS FÖGDERI"
10717875,SE/168100024,03CAF15E-84AA-4500-AB53-AAE0E769DDA4,"FRIELS KOMMUN"
10717887,SE/012500002,03CD87D8-4335-4F68-878E-19887D3BEA77,"ADELSÖ KOMMUN"
10717899,SE/156600007,03F56FCF-1CF2-4CDB-ADB9-E2CB341B6E32,"SKÖLVENE KOMMUN"
10717905,SE/168300015,0402288B-B897-44BE-96EB-91E487622CF5,"LJUNGHEMS KOMMUN"
10717917,SE/013282200,04027876-CABB-4B4E-8BE2-525A030DB9D5,"ROSLAGS KONTRAKT"
10717929,SE/076400004,042F23D9-0515-4926-9E04-3552D4D822F0,"HÄRLÖVS KOMMUN"
10717930,SE/008177201,042F78A6-9394-4964-B9D0-29BF1F670629,"GÖTEBORGS VÄSTRA KONTRAKT"
10717942,SE/250671999,0443F254-75BE-47E5-A6B0-17539EF55048,"SILBOJOKKS FÖRSAMLING"
10717954,SE/126400012,0458B58D-13A0-4CFA-8B9D-5A794707215D,"ÖRSJÖ KOMMUN"
10717966,SE/172000400,04644CD2-8F59-45D2-819C-2E3C0368F6D4,"HEDEMORA TINGSRÄTT"
10717978,SE/098000006,04739E4D-72BA-40C8-B6BD-4A735A73F51C,"RUTE KOMMUN"
10717980,SE/068500003,0484F3A5-AB9D-47E0-8ED7-17C359DA65C6,"BÄCKSEDA KOMMUN"
10717991,SE/012000200,0494608D-1148-4C6B-8E88-76A9E768D369,"VISBY STIFT"
10718004,SE/128100025,04DC9C3D-29C8-4DDF-8449-FC2F7561FB64,"VOMBS KOMMUN"
10718016,SE/018200004,05052571-8B1A-448E-8D74-01158DC84D75,"NACKA STAD"
10718028,SE/157003300,0510CC41-99CF-4FE3-BE98-6EE04CC3C0AD,"SELEBO HÄRAD"
10718030,SE/128400005,052960BA-9F47-45A4-9476-53883432B8E1,"BRUNNBY KOMMUN"
10718041,SE/098000025,05545499-5572-4D70-AD78-96CEA0E13EA1,"EKEBY KOMMUN"
10718053,SE/030299006,055E55A2-C561-4057-81E4-CC6A9BEED997,"SJÄTTE FÖGDERI C LÄN"
10718065,SE/168600042,056B0573-ACEF-4595-A64F-D6169823BE73,"SEGERSTADS KOMMUN"
10718077,SE/006132200,057340DE-0AE4-466A-92DD-F8820C8E02A9,"VISTA KONTRAKT"
10718089,SE/228100006,0578BF97-B4B1-4B8F-923A-F5ADFBBC17CA,"STÖDE KOMMUN"
10718090,SE/098000088,058756EB-8FF4-4576-86C0-FADE8A0242F7,"GERUMS KOMMUN"
10718107,SE/010599001,05B1718F-A5D9-40D0-B498-36E1D4236FD7,"LIDINGÖ TÄBY FÖGDERI"
10718119,SE/128001994,05BE9D33-1EA1-4C4A-A29B-B46B433D0E2D,"MALMÖ SLOTTSFÖRSAMLING"
10718120,SE/100040301,05D65E42-8220-4DCD-B156-5F451637FA20,"BÄLINGE VAKSALA RASBO ULLERÅKERS HAGUNDA NORUNDA ÖRBYHUS"
10718132,SE/011500003,06029DEE-E4B3-4EDB-8B06-EF2C9A2D1CF6,"MARKIMS KOMMUN"
10718144,SE/300017301,0609D453-ABB4-4244-93F3-152E0D805675,"BJÄRE OCH LUGGUDE"
10718156,SE/098000021,0611DD01-7329-4D4F-ABC9-794F1C8794BE,"LOKRUME KOMMUN"
10718168,SE/448000400,061EB387-EBDD-4248-B869-0FD494736FF1,"GÖTEBORGS TINGSRÄTT"
10718170,SE/168500023,063F333F-46A7-48E3-A703-11D5693F0350,"KUNGSLENA KOMMUN"
10718181,SE/030299000,06437261-6568-41C1-A8E0-32F6C9C68CF1,"TIERPS FÖGDERI"
10718193,SE/001006205,06A4B6D7-DFDE-4BF8-8650-87A4085A136C,"HAGUNDA OCH LAGUNDA KONTRAKT"
